"id","topic_id","step","result"
"5f8294a5-1fd5-4dcd-9b62-40ffa2405eb9","ffdc4541-194f-4155-a578-d0fc9d7d4c91","reviewed","ok"
"5f8294a5-1fd5-4dcd-9b62-40ffa2405eb9","ffdc4541-194f-4155-a578-d0fc9d7d4c91","locked","ok"
"bfc7a224-8ce2-4a08-8b9e-4f6ef3711b76","93940073-ade8-459c-91cf-c7384d4b5cd9","reviewed","ok"
"bfc7a224-8ce2-4a08-8b9e-4f6ef3711b76","93940073-ade8-459c-91cf-c7384d4b5cd9","locked","ok"
"6b2c916b-a407-4566-8da3-c57e900f3348","67d37b2c-817d-44d9-ae33-a795612fc581","reviewed","ok"
"6b2c916b-a407-4566-8da3-c57e900f3348","67d37b2c-817d-44d9-ae33-a795612fc581","locked","ok"
"94b59f09-934e-42f8-84f9-6039f6ae0e42","f760738d-0cb4-465f-9aa4-ebef3fc42346","reviewed","ok"
"94b59f09-934e-42f8-84f9-6039f6ae0e42","f760738d-0cb4-465f-9aa4-ebef3fc42346","locked","ok"
"33d16aa3-3b37-4cb5-b98f-c7f7f7f96b05","c2de8b3d-f79b-47b4-9b9e-5199a2230dbf","reviewed","ok"
"33d16aa3-3b37-4cb5-b98f-c7f7f7f96b05","c2de8b3d-f79b-47b4-9b9e-5199a2230dbf","locked","ok"
"3c999483-8e6a-4809-94ab-ae258470d060","32f83c7c-b513-4853-bb49-c6ffc6a19b40","reviewed","ok"
"3c999483-8e6a-4809-94ab-ae258470d060","32f83c7c-b513-4853-bb49-c6ffc6a19b40","locked","ok"
"e36178f3-3313-4ba2-949a-bbb96fe52d3c","c26f0386-26ac-4035-96d6-3522f658cb19","reviewed","ok"
"e36178f3-3313-4ba2-949a-bbb96fe52d3c","c26f0386-26ac-4035-96d6-3522f658cb19","locked","ok"
"7db79757-9e70-44b0-aa8f-5fd3a6cd118c","9a417628-ca65-4a32-bac1-87c365f40334","reviewed","ok"
"7db79757-9e70-44b0-aa8f-5fd3a6cd118c","9a417628-ca65-4a32-bac1-87c365f40334","locked","ok"
"9bf5ea30-425d-48b0-a80b-6fb1280cc5f4","9cc0f630-ab4f-4a0a-b5b2-9212f18af346","reviewed","ok"
"9bf5ea30-425d-48b0-a80b-6fb1280cc5f4","9cc0f630-ab4f-4a0a-b5b2-9212f18af346","locked","ok"
"6207766a-c042-46c4-ae42-fdda95be9cfb","75f89786-112e-4d19-ace5-a941f8fe577b","reviewed","ok"
"6207766a-c042-46c4-ae42-fdda95be9cfb","75f89786-112e-4d19-ace5-a941f8fe577b","locked","ok"
"2dfd0b8a-4bed-4890-a2d3-413a97abe336","4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673","reviewed","ok"
"2dfd0b8a-4bed-4890-a2d3-413a97abe336","4ac5fc1d-9fcf-4772-bd60-d9cfa9f8e673","locked","ok"
"202456e3-8c23-44b4-98c0-5dc666c48495","edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de","reviewed","ok"
"202456e3-8c23-44b4-98c0-5dc666c48495","edfa8f79-7e0a-4f3e-8726-dbd3a97fb1de","locked","ok"
"548853fe-4b83-425b-838d-8cb32051a3ca","afd4a13d-c570-493d-8b6a-3923c701219f","reviewed","ok"
"548853fe-4b83-425b-838d-8cb32051a3ca","afd4a13d-c570-493d-8b6a-3923c701219f","locked","ok"
"17206bdc-5060-4597-87a4-872432234057","dd67a013-938d-4ae2-b9bc-816d6a072d65","reviewed","ok"
"17206bdc-5060-4597-87a4-872432234057","dd67a013-938d-4ae2-b9bc-816d6a072d65","locked","ok"
"33856a44-3c32-456b-9181-c1831a3db1f7","0e4fdd22-0bfe-ee0a-c0bc-d74b9518afeb","reviewed","ok"
"33856a44-3c32-456b-9181-c1831a3db1f7","0e4fdd22-0bfe-ee0a-c0bc-d74b9518afeb","locked","ok"
"c09eef2b-3215-43a0-8aef-4b771ed926f0","556d4723-154e-48d6-ad3f-046a8018586d","reviewed","ok"
"c09eef2b-3215-43a0-8aef-4b771ed926f0","556d4723-154e-48d6-ad3f-046a8018586d","locked","ok"
"47bb76b8-360d-4c8e-a87e-e332681a0188","a0b3ccef-9ea8-4bce-9a3d-1eacb5cfe165","reviewed","ok"
"47bb76b8-360d-4c8e-a87e-e332681a0188","a0b3ccef-9ea8-4bce-9a3d-1eacb5cfe165","locked","ok"
"0847e1b8-66f4-401e-9069-c7925e693d53","bd20e212-5d6f-44c3-bddf-daede6e0516f","reviewed","ok"
