"question_id","year","question_number","source_ref"
,"2021","259","PUBAD-P2-2021-3b"
,"2021","260","PUBAD-P2-2021-3c"
,"2021","261","PUBAD-P2-2021-4a"
,"2021","262","PUBAD-P2-2021-5a"
,"2021","263","PUBAD-P2-2021-5b"
,"2021","264","PUBAD-P2-2021-5c"
,"2021","265","PUBAD-P2-2021-5d"
,"2021","266","PUBAD-P2-2021-5e"
,"2021","267","PUBAD-P2-2021-6a"
,"2021","268","PUBAD-P2-2021-6b"
,"2021","269","PUBAD-P2-2021-6c"
,"2021","270","PUBAD-P2-2021-7a"
,"2021","271","PUBAD-P2-2021-7b"
,"2021","272","PUBAD-P2-2021-7c"
,"2021","273","PUBAD-P2-2021-8a"
,"2021","274","PUBAD-P2-2021-8b"
,"2021","275","PUBAD-P2-2021-8c"
,"2020","250","PUBAD-P2-2020-1a"
,"2020","251","PUBAD-P2-2020-1b"
,"2020","252","PUBAD-P2-2020-1c"
,"2020","253","PUBAD-P2-2020-1d"
,"2020","254","PUBAD-P2-2020-1e"
,"2020","255","PUBAD-P2-2020-2a"
,"2020","256","PUBAD-P2-2020-2b"
,"2020","257","PUBAD-P2-2020-2c"
,"2020","258","PUBAD-P2-2020-3a"
,"2020","259","PUBAD-P2-2020-3b"
,"2020","260","PUBAD-P2-2020-3c"
,"2020","261","PUBAD-P2-2020-4a"
,"2020","262","PUBAD-P2-2020-4b"
,"2020","263","PUBAD-P2-2020-4c"
,"2020","264","PUBAD-P2-2020-5a"
,"2020","265","PUBAD-P2-2020-5b"
,"2020","266","PUBAD-P2-2020-5c"
,"2020","267","PUBAD-P2-2020-5d"
,"2020","268","PUBAD-P2-2020-5e"
,"2020","269","PUBAD-P2-2020-6a"
,"2020","270","PUBAD-P2-2020-6b"
,"2020","271","PUBAD-P2-2020-6c"
,"2020","272","PUBAD-P2-2020-7a"
,"2020","273","PUBAD-P2-2020-7b"
,"2020","274","PUBAD-P2-2020-7c"
,"2020","275","PUBAD-P2-2020-8a"
,"2020","276","PUBAD-P2-2020-8b"
,"2020","277","PUBAD-P2-2020-8c"
,"2019","250","PUBAD-P2-2019-1a"
,"2019","251","PUBAD-P2-2019-1b"
,"2019","252","PUBAD-P2-2019-1c"
,"2019","253","PUBAD-P2-2019-1d"
,"2019","254","PUBAD-P2-2019-1e"
,"2019","255","PUBAD-P2-2019-2a"
,"2019","256","PUBAD-P2-2019-2b"
,"2019","257","PUBAD-P2-2019-2c"
,"2019","258","PUBAD-P2-2019-3a"
,"2019","259","PUBAD-P2-2019-3b"
,"2019","260","PUBAD-P2-2019-3c"
,"2019","261","PUBAD-P2-2019-4a"
,"2019","262","PUBAD-P2-2019-4b"
,"2019","263","PUBAD-P2-2019-4c"
,"2019","264","PUBAD-P2-2019-5a"
