"question_id","year","question_number","source_ref"
,"2025","650","GEOG-P2-2025-1a"
,"2025","651","GEOG-P2-2025-1a(i)"
,"2025","652","GEOG-P2-2025-1a(ii)"
,"2025","653","GEOG-P2-2025-1a(iii)"
,"2025","654","GEOG-P2-2025-1a(iv)"
,"2025","655","GEOG-P2-2025-1a(v)"
,"2025","656","GEOG-P2-2025-1a(vi)"
,"2025","657","GEOG-P2-2025-1a(vii)"
,"2025","658","GEOG-P2-2025-1a(viii)"
,"2025","659","GEOG-P2-2025-1a(ix)"
,"2025","660","GEOG-P2-2025-1a(x)"
,"2025","661","GEOG-P2-2025-1b"
,"2025","662","GEOG-P2-2025-1c"
,"2025","663","GEOG-P2-2025-1d"
,"2025","664","GEOG-P2-2025-2a"
,"2025","665","GEOG-P2-2025-2b"
,"2025","666","GEOG-P2-2025-2c"
,"2025","667","GEOG-P2-2025-3a"
,"2025","668","GEOG-P2-2025-3b"
,"2025","669","GEOG-P2-2025-3c"
,"2025","670","GEOG-P2-2025-4a"
,"2025","671","GEOG-P2-2025-4b"
,"2025","672","GEOG-P2-2025-4c"
,"2025","673","GEOG-P2-2025-5a"
,"2025","674","GEOG-P2-2025-5b"
,"2025","675","GEOG-P2-2025-5c"
,"2025","676","GEOG-P2-2025-5d"
,"2025","677","GEOG-P2-2025-5e"
,"2025","678","GEOG-P2-2025-6a"
,"2025","679","GEOG-P2-2025-6b"
,"2025","680","GEOG-P2-2025-6c"
,"2025","681","GEOG-P2-2025-7a"
,"2025","682","GEOG-P2-2025-7b"
,"2025","683","GEOG-P2-2025-7c"
,"2025","684","GEOG-P2-2025-8a"
,"2025","685","GEOG-P2-2025-8b"
,"2025","686","GEOG-P2-2025-8c"
,"2024","650","GEOG-P2-2024-1a"
,"2024","651","GEOG-P2-2024-1b"
,"2024","652","GEOG-P2-2024-1c"
,"2024","653","GEOG-P2-2024-1d"
,"2024","654","GEOG-P2-2024-2a"
,"2024","655","GEOG-P2-2024-2b"
,"2024","656","GEOG-P2-2024-2c"
,"2024","657","GEOG-P2-2024-3a"
,"2024","658","GEOG-P2-2024-3b"
,"2024","659","GEOG-P2-2024-3c"
,"2024","660","GEOG-P2-2024-4a"
,"2024","661","GEOG-P2-2024-4b"
,"2024","662","GEOG-P2-2024-4c"
,"2024","663","GEOG-P2-2024-5a"
,"2024","664","GEOG-P2-2024-5b"
,"2024","665","GEOG-P2-2024-5c"
,"2024","666","GEOG-P2-2024-5d"
,"2024","667","GEOG-P2-2024-5e"
,"2024","668","GEOG-P2-2024-6a"
,"2024","669","GEOG-P2-2024-6b"
,"2024","670","GEOG-P2-2024-6c"
,"2024","671","GEOG-P2-2024-7a"
,"2024","672","GEOG-P2-2024-7b"
,"2024","673","GEOG-P2-2024-7c"
,"2024","674","GEOG-P2-2024-8a"
,"2024","675","GEOG-P2-2024-8b"
,"2024","676","GEOG-P2-2024-8c"
,"2023","650","GEOG-P2-2023-1a"
,"2023","651","GEOG-P2-2023-1b"
,"2023","652","GEOG-P2-2023-1c"
,"2023","653","GEOG-P2-2023-1d"
,"2023","654","GEOG-P2-2023-2a"
,"2023","655","GEOG-P2-2023-2b"
,"2023","656","GEOG-P2-2023-2c"
,"2023","657","GEOG-P2-2023-3a"
,"2023","658","GEOG-P2-2023-3b"
,"2023","659","GEOG-P2-2023-3c"
,"2023","660","GEOG-P2-2023-4a"
,"2023","661","GEOG-P2-2023-4b"
,"2023","662","GEOG-P2-2023-4c"
,"2023","663","GEOG-P2-2023-5a"
,"2023","664","GEOG-P2-2023-5b"
,"2023","665","GEOG-P2-2023-5c"
,"2023","666","GEOG-P2-2023-5d"
,"2023","667","GEOG-P2-2023-5e"
,"2023","668","GEOG-P2-2023-6a"
,"2023","669","GEOG-P2-2023-6b"
,"2023","670","GEOG-P2-2023-6c"
,"2023","671","GEOG-P2-2023-7a"
,"2023","672","GEOG-P2-2023-7b"
,"2023","673","GEOG-P2-2023-7c"
,"2023","674","GEOG-P2-2023-8a"
,"2023","675","GEOG-P2-2023-8b"
,"2023","676","GEOG-P2-2023-8c"
,"2022","650","GEOG-P2-2022-1a"
,"2022","651","GEOG-P2-2022-1a(1)"
,"2022","652","GEOG-P2-2022-1a(2)"
,"2022","653","GEOG-P2-2022-1a(3)"
,"2022","654","GEOG-P2-2022-1a(4)"
,"2022","655","GEOG-P2-2022-1a(5)"
,"2022","656","GEOG-P2-2022-1a(6)"
,"2022","657","GEOG-P2-2022-1a(7)"
,"2022","658","GEOG-P2-2022-1a(8)"
,"2022","659","GEOG-P2-2022-1a(9)"
,"2022","660","GEOG-P2-2022-1a(10)"
,"2022","661","GEOG-P2-2022-1b"
,"2022","662","GEOG-P2-2022-1c"
,"2022","663","GEOG-P2-2022-1d"
,"2022","664","GEOG-P2-2022-2a"
,"2022","665","GEOG-P2-2022-2b"
,"2022","666","GEOG-P2-2022-2c"
,"2022","667","GEOG-P2-2022-3a"
,"2022","668","GEOG-P2-2022-3b"
,"2022","669","GEOG-P2-2022-3c"
,"2022","670","GEOG-P2-2022-4a"
,"2022","671","GEOG-P2-2022-4b"
,"2022","672","GEOG-P2-2022-4c"
,"2022","673","GEOG-P2-2022-5a"
,"2022","674","GEOG-P2-2022-5b"
