"question_id","year","question_number","source_ref"
,"2025","400","ANTH-P1-2025-1a"
,"2025","401","ANTH-P1-2025-1b"
,"2025","402","ANTH-P1-2025-1c"
,"2025","403","ANTH-P1-2025-1d"
,"2025","404","ANTH-P1-2025-1e"
,"2025","405","ANTH-P1-2025-2a"
,"2025","406","ANTH-P1-2025-2b"
,"2025","407","ANTH-P1-2025-2c"
,"2025","408","ANTH-P1-2025-3a"
,"2025","409","ANTH-P1-2025-3b"
,"2025","410","ANTH-P1-2025-3c"
,"2025","411","ANTH-P1-2025-4a"
,"2025","412","ANTH-P1-2025-4b"
,"2025","413","ANTH-P1-2025-4c"
,"2025","414","ANTH-P1-2025-5a"
,"2025","415","ANTH-P1-2025-5b"
,"2025","416","ANTH-P1-2025-5c"
,"2025","417","ANTH-P1-2025-5d"
,"2025","418","ANTH-P1-2025-5e"
,"2025","419","ANTH-P1-2025-6a"
,"2025","420","ANTH-P1-2025-6b"
,"2025","421","ANTH-P1-2025-6c"
,"2025","422","ANTH-P1-2025-7a"
,"2025","423","ANTH-P1-2025-7b"
,"2025","424","ANTH-P1-2025-7c"
,"2025","425","ANTH-P1-2025-8a"
,"2025","426","ANTH-P1-2025-8b"
,"2025","427","ANTH-P1-2025-8c"
,"2024","400","ANTH-P1-2024-1a"
,"2024","401","ANTH-P1-2024-1b"
,"2024","402","ANTH-P1-2024-1c"
,"2024","403","ANTH-P1-2024-1d"
,"2024","404","ANTH-P1-2024-1e"
,"2024","405","ANTH-P1-2024-2a"
,"2024","406","ANTH-P1-2024-2b"
,"2024","407","ANTH-P1-2024-2c"
,"2024","408","ANTH-P1-2024-3a"
,"2024","409","ANTH-P1-2024-3b"
,"2024","410","ANTH-P1-2024-3c"
,"2024","411","ANTH-P1-2024-4a"
,"2024","412","ANTH-P1-2024-4b"
,"2024","413","ANTH-P1-2024-4c"
,"2024","414","ANTH-P1-2024-5a"
,"2024","415","ANTH-P1-2024-5b"
,"2024","416","ANTH-P1-2024-5c"
,"2024","417","ANTH-P1-2024-5d"
,"2024","418","ANTH-P1-2024-5e"
,"2024","419","ANTH-P1-2024-6a"
,"2024","420","ANTH-P1-2024-6b"
,"2024","421","ANTH-P1-2024-6c"
,"2024","422","ANTH-P1-2024-7a"
,"2024","423","ANTH-P1-2024-7b"
,"2024","424","ANTH-P1-2024-7c"
,"2024","425","ANTH-P1-2024-8a"
,"2024","426","ANTH-P1-2024-8b"
,"2024","427","ANTH-P1-2024-8c"
,"2023","400","ANTH-P1-2023-1a"
,"2023","401","ANTH-P1-2023-1b"
,"2023","402","ANTH-P1-2023-1c"
,"2023","403","ANTH-P1-2023-1d"
,"2023","404","ANTH-P1-2023-1e"
,"2023","405","ANTH-P1-2023-2a"
,"2023","406","ANTH-P1-2023-2b"
,"2023","407","ANTH-P1-2023-2c"
,"2023","408","ANTH-P1-2023-3a"
,"2023","409","ANTH-P1-2023-3b"
,"2023","410","ANTH-P1-2023-3c"
,"2023","411","ANTH-P1-2023-4a"
,"2023","412","ANTH-P1-2023-4b"
,"2023","413","ANTH-P1-2023-4c"
,"2023","414","ANTH-P1-2023-5a"
,"2023","415","ANTH-P1-2023-5b"
,"2023","416","ANTH-P1-2023-5c"
,"2023","417","ANTH-P1-2023-5d"
,"2023","418","ANTH-P1-2023-5e"
,"2023","419","ANTH-P1-2023-6a"
,"2023","420","ANTH-P1-2023-6b"
,"2023","421","ANTH-P1-2023-6c"
,"2023","422","ANTH-P1-2023-7a"
,"2023","423","ANTH-P1-2023-7b"
,"2023","424","ANTH-P1-2023-7c"
,"2023","425","ANTH-P1-2023-8a"
,"2023","426","ANTH-P1-2023-8b"
,"2023","427","ANTH-P1-2023-8c"
,"2022","400","ANTH-P1-2022-1a"
,"2022","401","ANTH-P1-2022-1b"
,"2022","402","ANTH-P1-2022-1c"
,"2022","403","ANTH-P1-2022-1d"
,"2022","404","ANTH-P1-2022-1e"
,"2022","405","ANTH-P1-2022-2a"
,"2022","406","ANTH-P1-2022-2b"
,"2022","407","ANTH-P1-2022-2c"
,"2022","408","ANTH-P1-2022-3a"
,"2022","409","ANTH-P1-2022-3b"
,"2022","410","ANTH-P1-2022-3c"
,"2022","411","ANTH-P1-2022-4a"
,"2022","412","ANTH-P1-2022-4b"
,"2022","413","ANTH-P1-2022-4c"
,"2022","414","ANTH-P1-2022-5a"
,"2022","415","ANTH-P1-2022-5b"
,"2022","416","ANTH-P1-2022-5c"
,"2022","417","ANTH-P1-2022-5d"
,"2022","418","ANTH-P1-2022-5e"
,"2022","419","ANTH-P1-2022-6a"
,"2022","420","ANTH-P1-2022-6b"
,"2022","421","ANTH-P1-2022-6c"
,"2022","422","ANTH-P1-2022-7a"
,"2022","423","ANTH-P1-2022-7b"
,"2022","424","ANTH-P1-2022-7c"
,"2022","425","ANTH-P1-2022-8a"
,"2022","426","ANTH-P1-2022-8b"
,"2022","427","ANTH-P1-2022-8c"
,"2021","400","ANTH-P1-2021-1a"
,"2021","401","ANTH-P1-2021-1b"
,"2021","402","ANTH-P1-2021-1c"
,"2021","403","ANTH-P1-2021-1d"
,"2021","404","ANTH-P1-2021-1e"
,"2021","405","ANTH-P1-2021-2a"
,"2021","406","ANTH-P1-2021-2b"
,"2021","407","ANTH-P1-2021-2c"
,"2021","408","ANTH-P1-2021-3a"
,"2021","409","ANTH-P1-2021-3b"
,"2021","410","ANTH-P1-2021-3c"
,"2021","411","ANTH-P1-2021-4a"
,"2021","412","ANTH-P1-2021-4b"
,"2021","413","ANTH-P1-2021-4c"
,"2021","414","ANTH-P1-2021-5a"
,"2021","415","ANTH-P1-2021-5b"
,"2021","416","ANTH-P1-2021-5c"
,"2021","417","ANTH-P1-2021-5d"
,"2021","418","ANTH-P1-2021-5e"
,"2021","419","ANTH-P1-2021-6a"
,"2021","420","ANTH-P1-2021-6b"
,"2021","421","ANTH-P1-2021-6c"
,"2021","422","ANTH-P1-2021-7a"
,"2021","423","ANTH-P1-2021-7b"
,"2021","424","ANTH-P1-2021-7c"
,"2021","425","ANTH-P1-2021-8a"
,"2021","426","ANTH-P1-2021-8b"
,"2021","427","ANTH-P1-2021-8c"
,"2020","400","ANTH-P1-2020-1a"
,"2020","401","ANTH-P1-2020-1b"
,"2020","402","ANTH-P1-2020-1c"
,"2020","403","ANTH-P1-2020-1d"
,"2020","404","ANTH-P1-2020-1e"
,"2020","405","ANTH-P1-2020-2a"
,"2020","406","ANTH-P1-2020-2b"
,"2020","407","ANTH-P1-2020-2c"
,"2020","408","ANTH-P1-2020-3a"
,"2020","409","ANTH-P1-2020-3b"
,"2020","410","ANTH-P1-2020-3c"
,"2020","411","ANTH-P1-2020-4a"
,"2020","412","ANTH-P1-2020-4b"
,"2020","413","ANTH-P1-2020-4c"
,"2020","414","ANTH-P1-2020-5a"
,"2020","415","ANTH-P1-2020-5b"
,"2020","416","ANTH-P1-2020-5c"
,"2020","417","ANTH-P1-2020-5d"
,"2020","418","ANTH-P1-2020-5e"
,"2020","419","ANTH-P1-2020-6a"
,"2020","420","ANTH-P1-2020-6b"
,"2020","421","ANTH-P1-2020-6c"
,"2020","422","ANTH-P1-2020-7a"
,"2020","423","ANTH-P1-2020-7b"
,"2020","424","ANTH-P1-2020-7c"
,"2020","425","ANTH-P1-2020-8a"
,"2020","426","ANTH-P1-2020-8b"
,"2020","427","ANTH-P1-2020-8c"
,"2019","400","ANTH-P1-2019-1a"
,"2019","401","ANTH-P1-2019-1b"
,"2019","402","ANTH-P1-2019-1c"
,"2019","403","ANTH-P1-2019-1d"
,"2019","404","ANTH-P1-2019-1e"
,"2019","405","ANTH-P1-2019-2a"
,"2019","406","ANTH-P1-2019-2b"
,"2019","407","ANTH-P1-2019-2c"
,"2019","408","ANTH-P1-2019-3a"
,"2019","409","ANTH-P1-2019-3b"
,"2019","410","ANTH-P1-2019-3c"
,"2019","411","ANTH-P1-2019-4a"
,"2019","412","ANTH-P1-2019-4b"
,"2019","413","ANTH-P1-2019-4c"
,"2019","414","ANTH-P1-2019-5a"
,"2019","415","ANTH-P1-2019-5b"
,"2019","416","ANTH-P1-2019-5c"
,"2019","417","ANTH-P1-2019-5d"
,"2019","418","ANTH-P1-2019-5e"
,"2019","419","ANTH-P1-2019-6a"
,"2019","420","ANTH-P1-2019-6b"
,"2019","421","ANTH-P1-2019-6c"
,"2019","422","ANTH-P1-2019-7a"
,"2019","423","ANTH-P1-2019-7b"
,"2019","424","ANTH-P1-2019-7c"
,"2019","425","ANTH-P1-2019-8a"
,"2019","426","ANTH-P1-2019-8b"
,"2019","427","ANTH-P1-2019-8c"
,"2018","400","ANTH-P1-2018-1a"
,"2018","401","ANTH-P1-2018-1b"
,"2018","402","ANTH-P1-2018-1c"
,"2018","403","ANTH-P1-2018-1d"
,"2018","404","ANTH-P1-2018-1e"
,"2018","405","ANTH-P1-2018-2a"
,"2018","406","ANTH-P1-2018-2b"
,"2018","407","ANTH-P1-2018-2c"
,"2018","408","ANTH-P1-2018-3a"
,"2018","409","ANTH-P1-2018-3b"
,"2018","410","ANTH-P1-2018-3c"
,"2018","411","ANTH-P1-2018-4a"
,"2018","412","ANTH-P1-2018-4b"
,"2018","413","ANTH-P1-2018-4c"
,"2018","414","ANTH-P1-2018-5a"
,"2018","415","ANTH-P1-2018-5b"
,"2018","416","ANTH-P1-2018-5c"
,"2018","417","ANTH-P1-2018-5d"
,"2018","418","ANTH-P1-2018-5e"
,"2018","419","ANTH-P1-2018-6a"
,"2018","420","ANTH-P1-2018-6b"
,"2018","421","ANTH-P1-2018-6c"
,"2018","422","ANTH-P1-2018-7a"
,"2018","423","ANTH-P1-2018-7b"
,"2018","424","ANTH-P1-2018-7c"
