"question_id","year","question_number","source_ref"
,"2021","464","ANTH-P2-2021-5a"
,"2021","465","ANTH-P2-2021-5b"
,"2021","466","ANTH-P2-2021-5c"
,"2021","467","ANTH-P2-2021-5d"
,"2021","468","ANTH-P2-2021-5e"
,"2021","469","ANTH-P2-2021-6a"
,"2021","470","ANTH-P2-2021-6b"
,"2021","471","ANTH-P2-2021-6c"
,"2021","472","ANTH-P2-2021-7a"
,"2021","473","ANTH-P2-2021-7b"
,"2021","474","ANTH-P2-2021-7c"
,"2021","475","ANTH-P2-2021-8a"
,"2021","476","ANTH-P2-2021-8b"
,"2021","477","ANTH-P2-2021-8c"
,"2020","450","ANTH-P2-2020-1a"
,"2020","451","ANTH-P2-2020-1b"
,"2020","452","ANTH-P2-2020-1c"
,"2020","453","ANTH-P2-2020-1d"
,"2020","454","ANTH-P2-2020-1e"
,"2020","455","ANTH-P2-2020-2a"
,"2020","456","ANTH-P2-2020-2b"
,"2020","457","ANTH-P2-2020-2c"
,"2020","458","ANTH-P2-2020-3a"
,"2020","459","ANTH-P2-2020-3b"
,"2020","460","ANTH-P2-2020-3c"
,"2020","461","ANTH-P2-2020-4a"
,"2020","462","ANTH-P2-2020-4b"
,"2020","463","ANTH-P2-2020-4c"
,"2020","464","ANTH-P2-2020-5a"
,"2020","465","ANTH-P2-2020-5b"
,"2020","466","ANTH-P2-2020-5c"
,"2020","467","ANTH-P2-2020-5d"
,"2020","468","ANTH-P2-2020-5e"
,"2020","469","ANTH-P2-2020-6a"
,"2020","470","ANTH-P2-2020-6b"
,"2020","471","ANTH-P2-2020-6c"
,"2020","472","ANTH-P2-2020-7a"
,"2020","473","ANTH-P2-2020-7b"
,"2020","474","ANTH-P2-2020-7c"
,"2020","475","ANTH-P2-2020-8a"
,"2020","476","ANTH-P2-2020-8b"
,"2020","477","ANTH-P2-2020-8c"
,"2019","450","ANTH-P2-2019-1a"
,"2019","451","ANTH-P2-2019-1b"
,"2019","452","ANTH-P2-2019-1c"
,"2019","453","ANTH-P2-2019-1d"
,"2019","454","ANTH-P2-2019-1e"
,"2019","455","ANTH-P2-2019-2a"
