"question_id","year","question_number","source_ref"
,"2021","616","GEOG-P1-2021-5c"
,"2021","617","GEOG-P1-2021-5d"
,"2021","618","GEOG-P1-2021-5e"
,"2021","619","GEOG-P1-2021-6a"
,"2021","620","GEOG-P1-2021-6b"
,"2021","621","GEOG-P1-2021-6c"
,"2021","622","GEOG-P1-2021-7a"
,"2021","623","GEOG-P1-2021-7b"
,"2021","624","GEOG-P1-2021-7c"
,"2021","625","GEOG-P1-2021-8a"
,"2021","626","GEOG-P1-2021-8b"
,"2021","627","GEOG-P1-2021-8c"
,"2020","600","GEOG-P1-2020-1a"
,"2020","601","GEOG-P1-2020-1b"
,"2020","602","GEOG-P1-2020-1c"
,"2020","603","GEOG-P1-2020-1d"
,"2020","604","GEOG-P1-2020-1e"
,"2020","605","GEOG-P1-2020-2a"
,"2020","606","GEOG-P1-2020-2b"
,"2020","607","GEOG-P1-2020-2c"
,"2020","608","GEOG-P1-2020-3a"
,"2020","609","GEOG-P1-2020-3b"
,"2020","610","GEOG-P1-2020-3c"
,"2020","611","GEOG-P1-2020-4a"
,"2020","612","GEOG-P1-2020-4b"
,"2020","613","GEOG-P1-2020-4c"
,"2020","614","GEOG-P1-2020-5a"
,"2020","615","GEOG-P1-2020-5b"
,"2020","616","GEOG-P1-2020-5c"
,"2020","617","GEOG-P1-2020-5d"
,"2020","618","GEOG-P1-2020-5e"
,"2020","619","GEOG-P1-2020-6a"
,"2020","620","GEOG-P1-2020-6b"
,"2020","621","GEOG-P1-2020-6c"
,"2020","622","GEOG-P1-2020-7a"
,"2020","623","GEOG-P1-2020-7b"
,"2020","624","GEOG-P1-2020-7c"
,"2020","625","GEOG-P1-2020-8a"
,"2020","626","GEOG-P1-2020-8b"
,"2020","627","GEOG-P1-2020-8c"
