"question_id","year","question_number","source_ref"
,"2022","519","HIST-P1-2022-1(xx)"
,"2022","520","HIST-P1-2022-2a"
,"2022","521","HIST-P1-2022-2b"
,"2022","522","HIST-P1-2022-2c"
,"2022","523","HIST-P1-2022-3a"
,"2022","524","HIST-P1-2022-3b"
,"2022","525","HIST-P1-2022-3c"
,"2022","526","HIST-P1-2022-4a"
,"2022","527","HIST-P1-2022-4b"
,"2022","528","HIST-P1-2022-4c"
,"2022","529","HIST-P1-2022-5a"
,"2022","530","HIST-P1-2022-5b"
,"2022","531","HIST-P1-2022-5c"
,"2022","532","HIST-P1-2022-5d"
,"2022","533","HIST-P1-2022-5e"
,"2022","534","HIST-P1-2022-6a"
,"2022","535","HIST-P1-2022-6b"
,"2022","536","HIST-P1-2022-6c"
,"2022","537","HIST-P1-2022-7a"
,"2022","538","HIST-P1-2022-7b"
,"2022","539","HIST-P1-2022-7c"
,"2022","540","HIST-P1-2022-8a"
,"2022","541","HIST-P1-2022-8b"
,"2022","542","HIST-P1-2022-8c"
,"2021","500","HIST-P1-2021-1(i)"
,"2021","501","HIST-P1-2021-1(ii)"
,"2021","502","HIST-P1-2021-1(iii)"
,"2021","503","HIST-P1-2021-1(iv)"
,"2021","504","HIST-P1-2021-1(v)"
,"2021","505","HIST-P1-2021-1(vi)"
,"2021","506","HIST-P1-2021-1(vii)"
,"2021","507","HIST-P1-2021-1(viii)"
,"2021","508","HIST-P1-2021-1(ix)"
,"2021","509","HIST-P1-2021-1(x)"
,"2021","510","HIST-P1-2021-1(xi)"
,"2021","511","HIST-P1-2021-1(xii)"
,"2021","512","HIST-P1-2021-1(xiii)"
,"2021","513","HIST-P1-2021-1(xiv)"
,"2021","514","HIST-P1-2021-1(xv)"
,"2021","515","HIST-P1-2021-1(xvi)"
,"2021","516","HIST-P1-2021-1(xvii)"
,"2021","517","HIST-P1-2021-1(xviii)"
,"2021","518","HIST-P1-2021-1(xix)"
,"2021","519","HIST-P1-2021-1(xx)"
,"2021","520","HIST-P1-2021-2a"
,"2021","521","HIST-P1-2021-2b"
,"2021","522","HIST-P1-2021-2c"
,"2021","523","HIST-P1-2021-3a"
,"2021","524","HIST-P1-2021-3b"
,"2021","525","HIST-P1-2021-3c"
,"2021","526","HIST-P1-2021-4a"
,"2021","527","HIST-P1-2021-4b"
,"2021","528","HIST-P1-2021-4c"
,"2021","529","HIST-P1-2021-5a"
,"2021","530","HIST-P1-2021-5b"
,"2021","531","HIST-P1-2021-5c"
,"2021","532","HIST-P1-2021-5d"
,"2021","533","HIST-P1-2021-5e"
,"2021","534","HIST-P1-2021-6a"
,"2021","535","HIST-P1-2021-6b"
,"2021","536","HIST-P1-2021-6c"
,"2021","537","HIST-P1-2021-7a"
,"2021","538","HIST-P1-2021-7b"
,"2021","539","HIST-P1-2021-7c"
,"2021","540","HIST-P1-2021-8a"
,"2021","541","HIST-P1-2021-8b"
,"2021","542","HIST-P1-2021-8c"
,"2020","500","HIST-P1-2020-1(i)"
,"2020","501","HIST-P1-2020-1(ii)"
,"2020","502","HIST-P1-2020-1(iii)"
,"2020","503","HIST-P1-2020-1(iv)"
,"2020","504","HIST-P1-2020-1(v)"
,"2020","505","HIST-P1-2020-1(vi)"
,"2020","506","HIST-P1-2020-1(vii)"
,"2020","507","HIST-P1-2020-1(viii)"
,"2020","508","HIST-P1-2020-1(ix)"
,"2020","509","HIST-P1-2020-1(x)"
,"2020","510","HIST-P1-2020-1(xi)"
,"2020","511","HIST-P1-2020-1(xii)"
,"2020","512","HIST-P1-2020-1(xiii)"
,"2020","513","HIST-P1-2020-1(xiv)"
,"2020","514","HIST-P1-2020-1(xv)"
,"2020","515","HIST-P1-2020-1(xvi)"
,"2020","516","HIST-P1-2020-1(xvii)"
,"2020","517","HIST-P1-2020-1(xviii)"
,"2020","518","HIST-P1-2020-1(xix)"
,"2020","519","HIST-P1-2020-1(xx)"
,"2020","520","HIST-P1-2020-2a"
,"2020","521","HIST-P1-2020-2b"
,"2020","522","HIST-P1-2020-2c"
,"2020","523","HIST-P1-2020-3a"
,"2020","524","HIST-P1-2020-3b"
,"2020","525","HIST-P1-2020-3c"
,"2020","526","HIST-P1-2020-4a"
,"2020","527","HIST-P1-2020-4b"
,"2020","528","HIST-P1-2020-4c"
,"2020","529","HIST-P1-2020-5a"
,"2020","530","HIST-P1-2020-5b"
,"2020","531","HIST-P1-2020-5c"
,"2020","532","HIST-P1-2020-5d"
,"2020","533","HIST-P1-2020-5e"
,"2020","534","HIST-P1-2020-6a"
,"2020","535","HIST-P1-2020-6b"
,"2020","536","HIST-P1-2020-6c"
,"2020","537","HIST-P1-2020-7a"
,"2020","538","HIST-P1-2020-7b"
,"2020","539","HIST-P1-2020-7c"
,"2020","540","HIST-P1-2020-8a"
,"2020","541","HIST-P1-2020-8b"
,"2020","542","HIST-P1-2020-8c"
,"2019","500","HIST-P1-2019-1(i)"
,"2019","501","HIST-P1-2019-1(ii)"
,"2019","502","HIST-P1-2019-1(iii)"
,"2019","503","HIST-P1-2019-1(iv)"
,"2019","504","HIST-P1-2019-1(v)"
,"2019","505","HIST-P1-2019-1(vi)"
,"2019","506","HIST-P1-2019-1(vii)"
,"2019","507","HIST-P1-2019-1(viii)"
,"2019","508","HIST-P1-2019-1(ix)"
,"2019","509","HIST-P1-2019-1(x)"
,"2019","510","HIST-P1-2019-1(xi)"
,"2019","511","HIST-P1-2019-1(xii)"
,"2019","512","HIST-P1-2019-1(xiii)"
,"2019","513","HIST-P1-2019-1(xiv)"
,"2019","514","HIST-P1-2019-1(xv)"
,"2019","515","HIST-P1-2019-1(xvi)"
,"2019","516","HIST-P1-2019-1(xvii)"
,"2019","517","HIST-P1-2019-1(xviii)"
,"2019","518","HIST-P1-2019-1(xix)"
,"2019","519","HIST-P1-2019-1(xx)"
,"2019","520","HIST-P1-2019-2a"
,"2019","521","HIST-P1-2019-2b"
,"2019","522","HIST-P1-2019-2c"
,"2019","523","HIST-P1-2019-3a"
,"2019","524","HIST-P1-2019-3b"
,"2019","525","HIST-P1-2019-3c"
,"2019","526","HIST-P1-2019-4a"
,"2019","527","HIST-P1-2019-4b"
,"2019","528","HIST-P1-2019-4c"
,"2019","529","HIST-P1-2019-5a"
,"2019","530","HIST-P1-2019-5b"
,"2019","531","HIST-P1-2019-5c"
,"2019","532","HIST-P1-2019-5d"
,"2019","533","HIST-P1-2019-5e"
,"2019","534","HIST-P1-2019-6a"
,"2019","535","HIST-P1-2019-6b"
,"2019","536","HIST-P1-2019-6c"
,"2019","537","HIST-P1-2019-7a"
,"2019","538","HIST-P1-2019-7b"
,"2019","539","HIST-P1-2019-7c"
,"2019","540","HIST-P1-2019-8a"
,"2019","541","HIST-P1-2019-8b"
,"2019","542","HIST-P1-2019-8c"
,"2018","500","HIST-P1-2018-1(i)"
,"2018","501","HIST-P1-2018-1(ii)"
,"2018","502","HIST-P1-2018-1(iii)"
,"2018","503","HIST-P1-2018-1(iv)"
,"2018","504","HIST-P1-2018-1(v)"
,"2018","505","HIST-P1-2018-1(vi)"
,"2018","506","HIST-P1-2018-1(vii)"
,"2018","507","HIST-P1-2018-1(viii)"
,"2018","508","HIST-P1-2018-1(ix)"
,"2018","509","HIST-P1-2018-1(x)"
,"2018","510","HIST-P1-2018-1(xi)"
,"2018","511","HIST-P1-2018-1(xii)"
,"2018","512","HIST-P1-2018-1(xiii)"
,"2018","513","HIST-P1-2018-1(xiv)"
,"2018","514","HIST-P1-2018-1(xv)"
,"2018","515","HIST-P1-2018-1(xvi)"
,"2018","516","HIST-P1-2018-1(xvii)"
,"2018","517","HIST-P1-2018-1(xviii)"
,"2018","518","HIST-P1-2018-1(xix)"
,"2018","519","HIST-P1-2018-1(xx)"
,"2018","520","HIST-P1-2018-2a"
,"2018","521","HIST-P1-2018-2b"
,"2018","522","HIST-P1-2018-2c"
,"2018","523","HIST-P1-2018-3a"
,"2018","524","HIST-P1-2018-3b"
,"2018","525","HIST-P1-2018-3c"
,"2018","526","HIST-P1-2018-4a"
,"2018","527","HIST-P1-2018-4b"
,"2018","528","HIST-P1-2018-4c"
,"2018","529","HIST-P1-2018-5a"
,"2018","530","HIST-P1-2018-5b"
,"2018","531","HIST-P1-2018-5c"
,"2018","532","HIST-P1-2018-5d"
,"2018","533","HIST-P1-2018-5e"
,"2018","534","HIST-P1-2018-6a"
,"2018","535","HIST-P1-2018-6b"
,"2018","536","HIST-P1-2018-6c"
,"2018","537","HIST-P1-2018-7a"
,"2018","538","HIST-P1-2018-7b"
,"2018","539","HIST-P1-2018-7c"
,"2018","540","HIST-P1-2018-8a"
,"2018","541","HIST-P1-2018-8b"
,"2018","542","HIST-P1-2018-8c"
,"2017","500","HIST-P1-2017-1(i)"
,"2017","501","HIST-P1-2017-1(ii)"
,"2017","502","HIST-P1-2017-1(iii)"
,"2017","503","HIST-P1-2017-1(iv)"
,"2017","504","HIST-P1-2017-1(v)"
,"2017","505","HIST-P1-2017-1(vi)"
,"2017","506","HIST-P1-2017-1(vii)"
,"2017","507","HIST-P1-2017-1(viii)"
,"2017","508","HIST-P1-2017-1(ix)"
,"2017","509","HIST-P1-2017-1(x)"
,"2017","510","HIST-P1-2017-1(xi)"
,"2017","511","HIST-P1-2017-1(xii)"
,"2017","512","HIST-P1-2017-1(xiii)"
,"2017","513","HIST-P1-2017-1(xiv)"
,"2017","514","HIST-P1-2017-1(xv)"
,"2017","515","HIST-P1-2017-1(xvi)"
,"2017","516","HIST-P1-2017-1(xvii)"
,"2017","517","HIST-P1-2017-1(xviii)"
,"2017","518","HIST-P1-2017-1(xix)"
,"2017","519","HIST-P1-2017-1(xx)"
,"2017","520","HIST-P1-2017-2a"
,"2017","521","HIST-P1-2017-2b"
,"2017","522","HIST-P1-2017-2c"
,"2017","523","HIST-P1-2017-3a"
,"2017","524","HIST-P1-2017-3b"
,"2017","525","HIST-P1-2017-3c"
,"2017","526","HIST-P1-2017-4a"
,"2017","527","HIST-P1-2017-4b"
,"2017","528","HIST-P1-2017-4c"
,"2017","529","HIST-P1-2017-5a"
,"2017","530","HIST-P1-2017-5b"
,"2017","531","HIST-P1-2017-5c"
,"2017","532","HIST-P1-2017-5d"
,"2017","533","HIST-P1-2017-5e"
,"2017","534","HIST-P1-2017-6a"
,"2017","535","HIST-P1-2017-6b"
,"2017","536","HIST-P1-2017-6c"
,"2017","537","HIST-P1-2017-7a"
,"2017","538","HIST-P1-2017-7b"
,"2017","539","HIST-P1-2017-7c"
,"2017","540","HIST-P1-2017-8a"
,"2017","541","HIST-P1-2017-8b"
,"2017","542","HIST-P1-2017-8c"
