file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,matched_year,matched_qno,ocr_derived
UPSCCSEMains2013ALL.json,2013,GS3,65,15,55,122,unverifiable,53.9,2022,1,false
UPSCCSEMains2013ALL.json,2013,GS3,66,16,56,129,unverifiable,55.9,2025,5,false
UPSCCSEMains2013ALL.json,2013,GS3,67,17,57,116,unverifiable,56.2,2015,10,false
UPSCCSEMains2013ALL.json,2013,GS3,68,18,58,124,unverifiable,55.4,2022,1,false
UPSCCSEMains2013ALL.json,2013,GS3,69,19,59,85,unverifiable,53.6,2025,13,false
UPSCCSEMains2013ALL.json,2013,GS3,70,20,60,116,unverifiable,57.1,2022,12,false
UPSCCSEMains2013ALL.json,2013,GS3,71,21,61,117,unverifiable,58.3,2015,15,false
UPSCCSEMains2013ALL.json,2013,GS3,72,22,62,106,unverifiable,52.4,2022,9,false
UPSCCSEMains2013ALL.json,2013,GS3,73,23,63,130,unverifiable,51.4,2025,10,false
UPSCCSEMains2013ALL.json,2013,GS3,74,24,64,124,unverifiable,52.8,2022,4,false
UPSCCSEMains2013ALL.json,2013,GS3,75,25,65,138,unverifiable,51.9,2025,9,false
UPSCCSEMains2013ALL.json,2013,GS4,76,1,61,110,unverifiable,55.7,2015,10,false
UPSCCSEMains2013ALL.json,2013,GS4,77,1,61,93,unverifiable,52.7,2015,,false
UPSCCSEMains2013ALL.json,2013,GS4,78,2,62,91,unverifiable,58.9,2024,,false
UPSCCSEMains2013ALL.json,2013,GS4,79,2,62,114,unverifiable,51.9,2025,20,false
UPSCCSEMains2013ALL.json,2013,GS4,80,3,63,110,unverifiable,54.1,2022,7,false
UPSCCSEMains2013ALL.json,2013,GS4,81,3,63,120,unverifiable,56.0,2022,4,false
UPSCCSEMains2013ALL.json,2013,GS4,82,4,64,133,unverifiable,51.5,2025,1,false
UPSCCSEMains2013ALL.json,2013,GS4,83,4,64,106,unverifiable,57.1,2025,11,false
UPSCCSEMains2013ALL.json,2013,GS4,84,5,65,118,unverifiable,51.8,2024,20,false
UPSCCSEMains2013ALL.json,2013,GS4,85,5,65,100,unverifiable,52.2,2025,7,false
UPSCCSEMains2013ALL.json,2013,GS4,86,6,66,112,unverifiable,53.8,2025,1,false
UPSCCSEMains2013ALL.json,2013,GS4,87,7,67,155,unverifiable,55.2,2025,7,false
UPSCCSEMains2013ALL.json,2013,GS4,88,8,68,1386,unverifiable,55.6,2025,9,false
UPSCCSEMains2013ALL.json,2013,GS4,89,9,69,1367,unverifiable,55.4,2025,6,false
UPSCCSEMains2013ALL.json,2013,GS4,90,10,70,1452,unverifiable,50.0,2025,16,false
UPSCCSEMains2013ALL.json,2013,GS4,91,11,71,1533,unverifiable,52.9,2025,5,false
UPSCCSEMains2013ALL.json,2013,GS4,92,12,72,1632,unverifiable,60.0,2025,2,false
UPSCCSEMains2013ALL.json,2013,GS4,93,13,73,1686,unverifiable,80.0,2025,2,false
UPSCCSEMains2013GS1.json,2013,GS1,1,1,1,208,unverifiable,50.0,2025,12,false
UPSCCSEMains2013GS1.json,2013,GS1,2,2,2,85,unverifiable,57.1,2024,,false
UPSCCSEMains2013GS1.json,2013,GS1,3,3,3,100,unverifiable,54.1,2024,11,false
UPSCCSEMains2013GS1.json,2013,GS1,4,4,4,117,unverifiable,53.1,2025,5,false
UPSCCSEMains2013GS1.json,2013,GS1,5,5,5,96,unverifiable,52.0,2025,9,false
UPSCCSEMains2013GS1.json,2013,GS1,6,6,6,129,unverifiable,53.5,2024,,false
UPSCCSEMains2013GS1.json,2013,GS1,7,7,7,117,unverifiable,55.7,2015,5,false
UPSCCSEMains2013GS1.json,2013,GS1,8,8,8,126,unverifiable,50.2,2025,20,false
UPSCCSEMains2013GS1.json,2013,GS1,9,9,9,80,unverifiable,60.8,2022,4,false
UPSCCSEMains2013GS1.json,2013,GS1,10,10,10,85,unverifiable,56.1,2022,15,false
UPSCCSEMains2013GS1.json,2013,GS1,11,11,11,106,unverifiable,55.8,2015,6,false
UPSCCSEMains2013GS1.json,2013,GS1,12,12,12,102,unverifiable,63.2,2025,13,false
UPSCCSEMains2013GS1.json,2013,GS1,13,13,13,94,unverifiable,54.3,2025,12,false
UPSCCSEMains2013GS1.json,2013,GS1,14,14,14,86,unverifiable,58.7,2024,13,false
UPSCCSEMains2013GS1.json,2013,GS1,15,15,15,63,unverifiable,61.3,2015,,false
UPSCCSEMains2013GS1.json,2013,GS1,16,16,16,99,unverifiable,64.3,2025,3,false
UPSCCSEMains2013GS1.json,2013,GS1,17,17,17,75,unverifiable,59.2,2024,7,false
UPSCCSEMains2013GS1.json,2013,GS1,18,18,18,68,unverifiable,61.2,2025,3,false
UPSCCSEMains2013GS1.json,2013,GS1,19,19,19,68,unverifiable,65.7,2025,6,false
UPSCCSEMains2013GS1.json,2013,GS1,20,20,20,99,unverifiable,61.2,2025,16,false
UPSCCSEMains2013GS1.json,2013,GS1,21,21,21,91,unverifiable,53.3,2024,,false
UPSCCSEMains2013GS1.json,2013,GS1,22,22,22,87,unverifiable,61.6,2015,,false
UPSCCSEMains2013GS1.json,2013,GS1,23,23,23,88,unverifiable,56.2,2024,16,false
UPSCCSEMains2013GS1.json,2013,GS1,24,24,24,81,unverifiable,61.3,2025,18,false
UPSCCSEMains2013GS1.json,2013,GS1,25,25,25,100,unverifiable,59.6,2025,14,false
UPSCCSEMains2013GS2.json,2013,GS2,1,1,21,93,unverifiable,59.3,2015,,false
UPSCCSEMains2013GS2.json,2013,GS2,2,2,22,62,unverifiable,63.2,2025,13,false
UPSCCSEMains2013GS2.json,2013,GS2,3,3,23,115,unverifiable,53.1,2022,6,false
UPSCCSEMains2013GS2.json,2013,GS2,4,4,24,103,unverifiable,61.7,2022,16,false
UPSCCSEMains2013GS2.json,2013,GS2,5,5,25,87,unverifiable,74.1,2025,14,false
UPSCCSEMains2013GS2.json,2013,GS2,6,6,26,128,unverifiable,54.8,2025,5,false
UPSCCSEMains2013GS2.json,2013,GS2,7,7,27,120,unverifiable,60.3,2024,,false
UPSCCSEMains2013GS2.json,2013,GS2,8,8,28,95,unverifiable,68.4,2025,8,false
UPSCCSEMains2013GS2.json,2013,GS2,9,9,29,95,unverifiable,57.0,2025,16,false
UPSCCSEMains2013GS2.json,2013,GS2,10,10,30,121,unverifiable,68.6,2025,11,false
UPSCCSEMains2013GS2.json,2013,GS2,11,11,31,120,unverifiable,61.7,2022,18,false
UPSCCSEMains2013GS2.json,2013,GS2,12,12,32,102,unverifiable,54.5,2015,6,false
UPSCCSEMains2013GS2.json,2013,GS2,13,13,33,122,unverifiable,53.7,2022,15,false
UPSCCSEMains2013GS2.json,2013,GS2,14,14,34,104,unverifiable,55.9,2015,18,false
UPSCCSEMains2013GS2.json,2013,GS2,15,15,35,134,unverifiable,51.9,2025,1,false
UPSCCSEMains2013GS2.json,2013,GS2,16,16,36,84,unverifiable,60.2,2025,19,false
UPSCCSEMains2013GS2.json,2013,GS2,17,17,37,71,unverifiable,61.4,2025,18,false
UPSCCSEMains2013GS2.json,2013,GS2,18,18,38,95,unverifiable,57.4,2025,9,false
UPSCCSEMains2013GS2.json,2013,GS2,19,19,39,121,unverifiable,53.0,2015,2,false
