file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2013ALL.json,2013,GS4,76,1,61,110,orphan,54.7,true
UPSCCSEMains2013ALL.json,2013,GS4,77,1,61,93,orphan,52.7,true
UPSCCSEMains2013ALL.json,2013,GS4,78,2,62,91,orphan,63.3,true
UPSCCSEMains2013ALL.json,2013,GS4,79,2,62,114,orphan,51.9,true
UPSCCSEMains2013ALL.json,2013,GS4,80,3,63,110,orphan,50.5,true
UPSCCSEMains2013ALL.json,2013,GS4,81,3,63,120,orphan,56.0,true
UPSCCSEMains2013ALL.json,2013,GS4,82,4,64,133,orphan,51.5,true
UPSCCSEMains2013ALL.json,2013,GS4,83,4,64,106,orphan,49.5,true
UPSCCSEMains2013ALL.json,2013,GS4,84,5,65,118,orphan,47.4,true
UPSCCSEMains2013ALL.json,2013,GS4,85,5,65,100,orphan,55.4,true
UPSCCSEMains2013ALL.json,2013,GS4,86,6,66,112,orphan,51.4,true
UPSCCSEMains2013ALL.json,2013,GS4,87,7,67,155,orphan,48.7,true
UPSCCSEMains2013ALL.json,2013,GS4,88,8,68,1386,orphan,47.9,true
UPSCCSEMains2013ALL.json,2013,GS4,89,9,69,1367,orphan,45.4,true
UPSCCSEMains2013ALL.json,2013,GS4,90,10,70,1452,orphan,45.9,true
UPSCCSEMains2013ALL.json,2013,GS4,91,11,71,1533,orphan,45.5,true
UPSCCSEMains2013ALL.json,2013,GS4,92,12,72,1632,orphan,45.1,true
UPSCCSEMains2013ALL.json,2013,GS4,93,13,73,1686,orphan,45.3,true
UPSCCSEMains2013GS1.json,2013,GS1,1,1,1,208,exact,100.0,true
UPSCCSEMains2013GS1.json,2013,GS1,2,2,2,85,orphan,83.3,true
UPSCCSEMains2013GS1.json,2013,GS1,3,3,3,100,orphan,83.7,true
UPSCCSEMains2013GS1.json,2013,GS1,4,4,4,117,orphan,69.9,true
UPSCCSEMains2013GS1.json,2013,GS1,5,5,5,96,orphan,49.5,true
